original_phrase,cluster_id,cluster_name
The product has an extremely bitter aftertaste.,113,Bitter Flour Aftertaste
Bitter aftertaste from the flour mix.,113,Bitter Flour Aftertaste
The mix leaves an extremely bitter aftertaste.,113,Bitter Flour Aftertaste
The mix tastes overwhelmingly of flour and sour cream.,113,Bitter Flour Aftertaste
Flavor dominated by flour and sour cream.,113,Bitter Flour Aftertaste
Bitter taste makes the product unpalatable.,245,Bitter Muddy Taste
"Inferior bitter, muddy, thin taste compared to others.",245,Bitter Muddy Taste
"Taste is bitter, muddy, and thin.",245,Bitter Muddy Taste
"Taste is processed, fake, and inferior.",245,Bitter Muddy Taste
The mix was bitter and did not rise.,232,Bitter No Rise
The mix failed to rise and taste good.,232,Bitter No Rise
The mix did not rise and tasted bitter.,232,Bitter No Rise
Bitter artificial sweetener taste unlike canned version.,149,Bitter Sweetener
Tastes bitter like artificial sweetener.,149,Bitter Sweetener
"Bitter artificial sweetener taste, unlike canned version.",149,Bitter Sweetener
The product has a bitter taste.,228,Bitter Taste
A bitter ingredient makes the product inedible.,228,Bitter Taste
Product is bitter and too runny.,228,Bitter Taste
The product is runny and bitter.,228,Bitter Taste
Product is too bitter and too runny.,228,Bitter Taste
"The Beer Nuts are bland, not sweet and salty.",187,Bland Beer Nuts
"The beer nuts taste bland, not sweet and salty.",187,Bland Beer Nuts
"The Beer Nuts are bland, not sweet and salty.",187,Bland Beer Nuts
Taste is bland and lacks pineapple flavor.,135,Bland Fruit Mix
Missing expected pineapple and coconut flavors.,135,Bland Fruit Mix
"Lacks papaya taste, tastes like mushy pineapple.",135,Bland Fruit Mix
Drink lacks authentic pina colada flavor.,135,Bland Fruit Mix
Drink does not taste like pineapple or coconut.,135,Bland Fruit Mix
Product is bland and has grainy texture.,239,Bland Grainy
The product is bland and grainy.,239,Bland Grainy
Bland flavor and poor texture after storage.,239,Bland Grainy
Bland flavor and grainy texture.,239,Bland Grainy
Product is bland with grainy texture.,239,Bland Grainy
Broken noodles and over-salted sauce ruined the product.,99,Broken Noodles Salt
Poor quality product with broken noodles and bad sauce.,99,Broken Noodles Salt
Broken noodles and overly salty sauce.,99,Broken Noodles Salt
The noodles are unappetizing and cause gagging.,99,Broken Noodles Salt
Poor taste and texture of noodles.,99,Broken Noodles Salt
The noodles have awful taste and gross consistency.,99,Broken Noodles Salt
Chips lack sufficient sour cream and onion flavor.,226,Burnt No Flavor
Chips were burnt and lacked vinegar flavor.,226,Burnt No Flavor
Chips lacked expected cheddar flavor and tasted stale.,226,Burnt No Flavor
Chips tasted stale and lacked cheddar flavor.,226,Burnt No Flavor
No flavoring on any chips.,226,Burnt No Flavor
Chips lacked seasoning or flavoring.,226,Burnt No Flavor
Chips had no flavoring on them.,226,Burnt No Flavor
Chips lacked sufficient vinegar flavor.,226,Burnt No Flavor
Taste did not meet expectations for traditional kettle chips.,226,Burnt No Flavor
Recipe changed for worse after company buyout.,129,Buyout Recipe Change
Recipe changed after company buyout.,129,Buyout Recipe Change
Recipe changed after company buyout.,129,Buyout Recipe Change
Calcium deficiency causes metabolic bone disease.,68,Calcium Deficiency
"Sojo's diet lacks calcium, causing bone disease.",68,Calcium Deficiency
"The diet lacks calcium, causing bone disease.",68,Calcium Deficiency
Calcium deficiency in Sojo's diet causes bone disease.,68,Calcium Deficiency
Unpleasant flavor reminiscent of cardboard and vinegar.,213,Cardboard Taste
Product tasted like sour milk and cardboard.,213,Cardboard Taste
Tasted like cardboard soaked in beef flavored vinegar.,213,Cardboard Taste
The taste and smell were like sour milk and cardboard.,213,Cardboard Taste
Item tasted like cardboard and had no flavor.,213,Cardboard Taste
The product tasted like sour milk and cardboard.,213,Cardboard Taste
Tasted like cardboard and watered down.,213,Cardboard Taste
The product tasted like cardboard and had a miserable texture.,213,Cardboard Taste
Cheap food is unpalatable to cat.,16,Cat Refuses Food
Cat shows no interest in the food.,16,Cat Refuses Food
Cat refuses to eat or even sniff the food.,16,Cat Refuses Food
Cat refuses to eat the food.,16,Cat Refuses Food
Cheap food is unpalatable to the cat.,16,Cat Refuses Food
Cheap food is unappealing to the cat.,16,Cat Refuses Food
Merrick canned food caused pancreatitis in dogs.,33,Causes Pancreatitis
Merrick canned food caused pancreatitis in dogs.,33,Causes Pancreatitis
Merrick canned food caused pancreatitis in both dogs.,33,Causes Pancreatitis
Merrick canned food caused pancreatitis in dogs.,33,Causes Pancreatitis
A defective batch of food caused vomiting.,267,Causes Vomiting
"The food causes loose, stinky stools.",267,Causes Vomiting
Food caused diarrhea and was unpalatable.,267,Causes Vomiting
Not the same root tea as childhood.,45,Changed From Childhood
Product differed from childhood tea memory.,45,Changed From Childhood
It wasn't the childhood root tea.,45,Changed From Childhood
Product texture and flavor changed unexpectedly.,238,Changed Texture Flavor
Short-lived flavor disappears within seconds.,238,Changed Texture Flavor
"Product's organic quality changed, causing allergy return.",238,Changed Texture Flavor
Product texture and flavor changed unfavorably.,238,Changed Texture Flavor
Product had wrong texture and taste.,238,Changed Texture Flavor
Product texture and flavor changed negatively.,238,Changed Texture Flavor
Too sweet and sinewy texture disappointed the customer.,238,Changed Texture Flavor
Texture and non-barbecue flavors are disliked.,238,Changed Texture Flavor
The hot chocolate tastes like cheap instant mix.,158,Cheap Cocoa
Hot chocolate was too sweet and off-tasting.,158,Cheap Cocoa
The hot chocolate tastes chalky and inferior.,158,Cheap Cocoa
The hot chocolate is too sweet and has an off taste.,158,Cheap Cocoa
Tastes like cheap sugar-free instant hot chocolate.,158,Cheap Cocoa
Hot chocolate too sweet with off taste.,158,Cheap Cocoa
The hot chocolate tasted like cheap sugar-free instant.,158,Cheap Cocoa
Product tasted like cheap hot chocolate mix.,158,Cheap Cocoa
Dark hot cocoa tasted like cheap instant mix.,101,Cheap Cocoa Taste
Hydrogenated oil in the hot cocoa mix.,101,Cheap Cocoa Taste
The cocoa tasted watery and like sweet hot water.,101,Cheap Cocoa Taste
Hot cocoa has a strange sour milk taste.,101,Cheap Cocoa Taste
Hot cocoa tastes like sweet hot water.,101,Cheap Cocoa Taste
Hydrogenated oil in hot cocoa mix.,101,Cheap Cocoa Taste
Artificially sweetened hot cocoa mix in K-cup.,101,Cheap Cocoa Taste
"New recipe uses cheaper, lower-quality ingredients.",130,Cheaper MSG Recipe
Recipe change introduced MSG and processed ingredients.,130,Cheaper MSG Recipe
Recipe changed to add MSG and processed ingredients.,130,Cheaper MSG Recipe
Recipe changed to include MSG and cheap ingredients.,130,Cheaper MSG Recipe
Chemical smell and unpleasant taste.,261,Chemical Smell
Faint chemical smell and off taste.,261,Chemical Smell
Unpleasant taste that is an acquired taste.,261,Chemical Smell
"Bad smell and weak, awful taste.",261,Chemical Smell
Awful taste and lack of energy.,261,Chemical Smell
Bad taste and lack of energy.,261,Chemical Smell
"Tastes like a chemical experiment, unlike homemade.",256,Chemical Taste
Tastes like chemicals due to artificial ingredients.,256,Chemical Taste
Chemical taste from long ingredient list.,256,Chemical Taste
Chemical taste from artificial flavor was the main issue.,256,Chemical Taste
Chemical taste from artificial ingredients.,256,Chemical Taste
The mix has a chemical taste and artificial flavors.,256,Chemical Taste
Bottled water contains impurities that cloud hot tea.,46,Cloudy Tea from Water
Water contains impurities causing cloudy tea.,46,Cloudy Tea from Water
Bottled water contains impurities causing cloudy tea.,46,Cloudy Tea from Water
Tea balls fall apart in hot water.,46,Cloudy Tea from Water
Heat and shaking caused coating to separate.,115,Coating Separation
Excessive grease and salt make the product inedible.,115,Coating Separation
Heat and shaking caused loss of coating and flavor.,115,Coating Separation
Overheating caused dried crust and gelatinous goo.,115,Coating Separation
Salt shaker design causes uncontrollable clumping and dispensing.,115,Coating Separation
Product contains excessive grease and salt.,115,Coating Separation
Excessive grease and salt make it inedible.,115,Coating Separation
Excessive grease causes burnt taste and saturation.,115,Coating Separation
The exceptional quality of TANG's cookies ruins all others.,123,Crumbly Cookies
Cookies were too crumbly and fragile.,123,Crumbly Cookies
Overly moist and undercooked cookies cause breakage.,123,Crumbly Cookies
Cookies arrived stale and crumbled.,123,Crumbly Cookies
Cookies arrived crushed and stale.,123,Crumbly Cookies
"The recipe produced terrible, inedible cookies.",123,Crumbly Cookies
Cookies arrived stale and broken into crumbs.,123,Crumbly Cookies
Cookies arrived stale and crumbled.,123,Crumbly Cookies
"The recipe produces terrible, inedible cookies.",123,Crumbly Cookies
The cookie recipe is fundamentally flawed.,123,Crumbly Cookies
"Product crumbles when cut, unsuitable as rolls.",192,Crumbly Product
Poor packaging caused lollipops to break.,192,Crumbly Product
Product broke due to inadequate packaging.,192,Crumbly Product
Poor packaging led to broken lollipops.,192,Crumbly Product
Insufficient packaging caused all three bottles to break.,192,Crumbly Product
Poor packaging caused broken salsa bottles.,192,Crumbly Product
Inadequate packaging caused all three bottles to break.,192,Crumbly Product
Poor packaging led to broken bricks.,192,Crumbly Product
Supplier shipped damaged and incorrect merchandise.,200,Damaged Wrong Item
Supplier sent damaged and incorrect merchandise.,200,Damaged Wrong Item
"Sent wrong item and shorted quantity, overcharged.",200,Damaged Wrong Item
"Supplier sent damaged, incorrect, non-certified merchandise.",200,Damaged Wrong Item
Supplier sent damaged and incorrect merchandise.,200,Damaged Wrong Item
Deceptive use of yeast extract and excessive air in bag.,132,Deceptive MSG Labeling
Misleading 'No MSG' label due to autolyzed yeast extract.,132,Deceptive MSG Labeling
False advertising: yeast extract is actually MSG.,132,Deceptive MSG Labeling
Deceptive advertising about the bar's small size.,62,Deceptive Size
Deceptive advertising about the bar's true size.,62,Deceptive Size
Deceptive advertising misrepresents the bar's small size.,62,Deceptive Size
Most jars contained inedible clumpy mush.,51,Defective Baby Food
"Most jars were defective, inedible mush.",51,Defective Baby Food
Plastic pieces found in baby food jars.,51,Defective Baby Food
Two out of four jars were rotten.,51,Defective Baby Food
Dented cans and missing DOP certification label.,38,Dented DOP Cans
Dented cans and missing DOP certification labels.,38,Dented DOP Cans
Dented cans and missing DOP certification labels.,38,Dented DOP Cans
11 of 12 cans arrived severely dented.,56,Dented Shipping Cans
Shipping caused severe dents in 11 of 12 cans.,56,Dented Shipping Cans
11 of 12 cans arrived severely dented.,56,Dented Shipping Cans
Quality deteriorated after previously good chip experiences.,108,Deteriorated Chip Quality
US conglomerate buyout ruined chip quality.,108,Deteriorated Chip Quality
Inconsistent production leads to poor quality chips.,108,Deteriorated Chip Quality
"Product quality declined with broken, burnt chips.",108,Deteriorated Chip Quality
Store-bought chips differ from sample quality.,108,Deteriorated Chip Quality
Private equity buyout caused quality decline.,108,Deteriorated Chip Quality
Private equity acquisition caused decline in chip quality.,108,Deteriorated Chip Quality
Quality declined after private equity acquisition.,108,Deteriorated Chip Quality
Awful aftertaste resembling bad diet soda.,138,Diet Aftertaste
Unpleasant aftertaste from sugar substitute.,138,Diet Aftertaste
Bad aftertaste and weak flavor.,138,Diet Aftertaste
Awful aftertaste like bad diet soda.,138,Diet Aftertaste
Caviar had odd flavor and bad aftertaste.,138,Diet Aftertaste
Unpleasant diet sweetener aftertaste ruined the taste.,157,Diet Aftertaste
Artificial sweetener aftertaste was unpleasant.,157,Diet Aftertaste
Unpleasant artificial sweetener aftertaste ruins the flavor.,157,Diet Aftertaste
Unpleasant artificial sweetener aftertaste ruined the flavor.,157,Diet Aftertaste
The tea tastes and smells like dirty feet.,48,Dirty Taste Tea
The tea tasted like dirt.,48,Dirty Taste Tea
Tea was mostly powder/dust with few intact leaves.,48,Dirty Taste Tea
The tea smelled and tasted like dirty feet.,48,Dirty Taste Tea
The tea tastes and smells like dirty feet.,48,Dirty Taste Tea
The tea had a rancid odor.,48,Dirty Taste Tea
"The tea had a rancid, unpleasant odor.",48,Dirty Taste Tea
"The tea had a rancid, off-putting odor.",48,Dirty Taste Tea
"Tea has a terrible, moldy taste and smell.",48,Dirty Taste Tea
Potato flakes did not meet expectations.,94,Disappointing Flakes
The product is disappointing potato flakes.,94,Disappointing Flakes
Potato flakes are the main complaint.,94,Disappointing Flakes
Product was disliked even by easily pleased children.,258,Disliked by Kids
Even undemanding children disliked the product.,258,Disliked by Kids
"Product unexpectedly targeted at children, not adults.",258,Disliked by Kids
The product was unappealing to easily pleased children.,258,Disliked by Kids
Elmo on package misleads adults about target audience.,258,Disliked by Kids
Even easily pleased children disliked the product.,258,Disliked by Kids
Treats are too small for medium dogs.,13,Dog Treats Too Small
"Overpriced for small, unappealing dog treats.",13,Dog Treats Too Small
Treats too small for medium-sized dogs.,13,Dog Treats Too Small
Treats too small for medium-sized dogs.,13,Dog Treats Too Small
The poodle dislikes the food's taste.,18,Dogs Refuse Food
The reviewer's picky dog refused to eat the food.,18,Dogs Refuse Food
Dogs rejected Newman's dog food completely.,18,Dogs Refuse Food
Dog refused to eat the canned food.,18,Dogs Refuse Food
Dogs refuse to eat the food.,18,Dogs Refuse Food
The dog refused to eat the canned food.,18,Dogs Refuse Food
The dog refused to eat the canned food.,18,Dogs Refuse Food
Dog got diarrhea and refused the food.,18,Dogs Refuse Food
Dog got diarrhea and rejected the food.,18,Dogs Refuse Food
Overpriced treat that dog refuses to eat.,18,Dogs Refuse Food
Dogs refuse to eat this dog food.,18,Dogs Refuse Food
Dogs refuse to eat this dog food.,18,Dogs Refuse Food
The bread mix lacks sufficient moisture.,84,Dry Bland Bread
Bread lacks flavor and is not full-bodied.,84,Dry Bland Bread
Bread lacks flavor and body.,84,Dry Bland Bread
White bread lacks flavor and body.,84,Dry Bland Bread
Excessive corn syrup in baby product.,89,Excess Corn Syrup
The baby formula contains corn syrup.,89,Excess Corn Syrup
Excessive corn syrup in baby product.,89,Excess Corn Syrup
Corn syrup in baby formula is unacceptable.,89,Excess Corn Syrup
Expensive formula contains processed corn syrup solids.,89,Excess Corn Syrup
Expensive and contains processed corn syrup solids.,89,Excess Corn Syrup
Expensive formula with processed corn syrup solids.,89,Excess Corn Syrup
Too much corn syrup in baby product.,89,Excess Corn Syrup
Excessive corn syrup in baby product.,89,Excess Corn Syrup
Corn syrup in product is unhealthy for babies.,89,Excess Corn Syrup
Product contains corn syrup as ingredient.,89,Excess Corn Syrup
High fructose corn syrup causes health and environmental harm.,89,Excess Corn Syrup
Excessive fat content in the mix instructions.,233,Excess Fat Content
Poor flavor and texture of the mix.,233,Excess Fat Content
Disappointed in flavor and texture of mix.,233,Excess Fat Content
Poor flavor and texture of the mix.,233,Excess Fat Content
Sugar was added to product after listing.,116,Excess Sugar Crystals
The product contains excessive crunchy sugar crystals.,116,Excess Sugar Crystals
Product has excessive crunchy sugar crystals.,116,Excess Sugar Crystals
Product has excessive crunchy sugar crystals.,116,Excess Sugar Crystals
Salt flavor chips are excessively salty.,253,Excessively Salty
"Chips are dry, gross, and unsatisfying.",253,Excessively Salty
"Chips are greasy, undermining salt-free appeal.",253,Excessively Salty
Chips are too greasy despite being salt-free.,253,Excessively Salty
Overly salted chips caused mouth skin peeling.,253,Excessively Salty
"Chips are excessively salty, causing mouth peeling.",253,Excessively Salty
"Chips have a funny, unpleasant aftertaste.",253,Excessively Salty
Chips are excessively salty and sour.,253,Excessively Salty
Chips are excessively greasy and taste burnt.,253,Excessively Salty
Chips are overly greasy and taste burnt.,253,Excessively Salty
Out-of-date product caused bad taste.,222,Expired Bad Taste
Likely expired product causes muddy taste.,222,Expired Bad Taste
Spoiled product caused black liquid.,222,Expired Bad Taste
Product was a grayish sticky mess.,222,Expired Bad Taste
Product arrived as grayish sticky mess.,222,Expired Bad Taste
Product was a grayish sticky mess.,222,Expired Bad Taste
Outdated/spoiled product caused black liquid.,222,Expired Bad Taste
"Expired, rat-infested chips sent to customer.",210,Expired Contaminated
Received expired chips with rat damage.,210,Expired Contaminated
"Expired, rodent-contaminated chips caused negative review.",210,Expired Contaminated
Rodent holes in bags caused contamination.,210,Expired Contaminated
Rodent-damaged bags made chips a health hazard.,210,Expired Contaminated
Damaged bags with rodent holes caused contamination.,210,Expired Contaminated
Mouse chewed open every bag of chips.,210,Expired Contaminated
Mouse chewed open all bags of chips.,210,Expired Contaminated
All bags were chewed open by mice.,210,Expired Contaminated
Extremely bitter taste makes coffee undrinkable.,28,Extremely Bitter
Bitter coffee taste makes it undrinkable.,28,Extremely Bitter
The coffee is excessively bitter and nasty.,28,Extremely Bitter
Coffee is too bitter to drink.,28,Extremely Bitter
Coffee is too bitter even with cream and honey.,28,Extremely Bitter
"The coffee is too bitter, even with additives.",28,Extremely Bitter
The coffee is excessively bitter.,28,Extremely Bitter
High caffeine causes side effects for sensitive users.,28,Extremely Bitter
Caffeine sensitivity leads to adverse effects.,28,Extremely Bitter
"The juice is mostly other fruits, not real acai.",142,Fake Acai Juice
Lacks authentic acai flavor; mostly other juices.,142,Fake Acai Juice
"It's mostly other juices, not real acai.",142,Fake Acai Juice
"The product lacks shortening, making it not a true Bisquick equivalent.",26,Fake Bisquick
"Product tastes processed and fake, worse than Bisquick.",26,Fake Bisquick
Product is only marginally better than standard Bisquick.,26,Fake Bisquick
Product is only marginally better than Bisquick.,26,Fake Bisquick
Tomatoes are not D.O.P. certified imitation.,6,Fake DOP Tomatoes
Products are not authentic DOP tomatoes.,6,Fake DOP Tomatoes
Misleading product image shows D.O.P. tomatoes.,6,Fake DOP Tomatoes
False advertising of D.O.P. certified tomatoes.,6,Fake DOP Tomatoes
"Tomatoes are fake, not D.O.P. certified San Marzano.",6,Fake DOP Tomatoes
"Item mislabeled as gluten-free, contains wheat protein.",120,Fake Gluten-Free
Item mislabeled as gluten-free but contains wheat.,120,Fake Gluten-Free
The gluten-free mix tasted awful.,120,Fake Gluten-Free
Gluten in the mix caused indigestion.,120,Fake Gluten-Free
False gluten-free label due to wheat ingredient.,120,Fake Gluten-Free
Item falsely listed as gluten-free but contains wheat.,120,Fake Gluten-Free
Fake milk powder's off flavor is the main issue.,61,Fake Milk Powder
Fake milk powder causes off flavor and thin texture.,61,Fake Milk Powder
Fake milk powder causes off flavor and thin texture.,61,Fake Milk Powder
Fake milk powder causes off flavor and thinness.,61,Fake Milk Powder
"Product mislabeled as olive oil, used unhealthy oil.",163,Fake Olive Oil
Misleading product description about oil type.,163,Fake Olive Oil
"Advertised olive oil, but used unhealthy oil.",163,Fake Olive Oil
Product picture shows DOP but tomatoes are not.,7,False DOP Claim
Tomatoes were not DOP certified as advertised.,7,False DOP Claim
Advertised DOP tomatoes not actually provided.,7,False DOP Claim
Product is not DOP certified San Marzano tomatoes.,7,False DOP Claim
Box falsely claims tuna is included.,172,False Tuna Claim
Restaurant falsely claims to serve Kobe beef.,172,False Tuna Claim
Misleading packaging claims tuna included.,172,False Tuna Claim
Product lacks tuna despite box promising it.,172,False Tuna Claim
False flavor and misleading nutrition label.,172,False Tuna Claim
Filler content led to the negative review.,151,Filler Content Issue
Poor taste and high price cause negative review.,151,Filler Content Issue
"The review is positive, not negative.",151,Filler Content Issue
"The review is positive, not negative.",151,Filler Content Issue
Amazon switched reviews from a different product.,151,Filler Content Issue
The order cancellation caused the negative review.,151,Filler Content Issue
"Pre-ground coffee resulted in flat, boring taste.",30,Flat Pre-Ground
The coffee's smell and taste are terrible.,30,Flat Pre-Ground
Coffee has an unpleasant flavor despite low acidity.,30,Flat Pre-Ground
K-cups produced only flavorless brown water.,90,Flavorless Brown Water
Grove Square k-cups gunked up the brewer.,90,Flavorless Brown Water
K-cups have a strong plastic/chemical taste.,90,Flavorless Brown Water
The k-cups produced flavorless brown water.,90,Flavorless Brown Water
Grove Square k-cups gunked up the brewer.,90,Flavorless Brown Water
Hot chocolate k-cups have a chemical taste.,90,Flavorless Brown Water
K-cups produced only flavorless brown water.,90,Flavorless Brown Water
Grove Square k-cups gunked up the brewer.,90,Flavorless Brown Water
The candy has no flavor.,166,Flavorless Candy
Candy lacks flavor and is plain chewy.,166,Flavorless Candy
"No flavor, just red and chewy.",166,Flavorless Candy
Formula change caused cats to reject the food.,17,Formula Change Rejection
Formula change caused cats to reject food.,17,Formula Change Rejection
Formula change caused cats to reject the food.,17,Formula Change Rejection
All-natural kibble was too rich for cats.,17,Formula Change Rejection
Unlabeled formula change caused cats to stop eating.,17,Formula Change Rejection
Unlabeled formula change caused cats to stop eating.,17,Formula Change Rejection
Unlabeled formula change caused cats to stop eating.,17,Formula Change Rejection
Customer canceled due to NuNaturals' use of GMOs.,152,GMO Concerns
The order was cancelled due to a problem.,152,GMO Concerns
Order was cancelled due to issues.,152,GMO Concerns
Altered texture and flavor caused gagging.,268,Gagging Taste
Horrid taste made it inedible.,268,Gagging Taste
The taste was so bad it caused gagging.,268,Gagging Taste
Vile taste and flat appearance made toddler cry.,268,Gagging Taste
Horrid taste makes it inedible.,268,Gagging Taste
Thick formula with persistent bubbles causes gas.,87,Gas-Causing Formula
Thick formula with bubbles worsened baby's gas.,87,Gas-Causing Formula
Thick formula with bubbles caused more gas.,87,Gas-Causing Formula
The formula is thick and produces excessive bubbles.,87,Gas-Causing Formula
Gluey texture and sickeningly sweet flavor.,259,Gluey Sweet
Gluey texture and sickening sweet flavor.,259,Gluey Sweet
Gluey texture and sickeningly sweet flavor.,259,Gluey Sweet
Poor artificial flavor and stringy texture.,259,Gluey Sweet
Artificial flavor and stringy texture.,259,Gluey Sweet
Chips were soaked with grease.,248,Grease Soaked
Chips were soaked in excessive grease.,248,Grease Soaked
Bag size too small with only 10 chips.,248,Grease Soaked
"Burnt, greasy, broken chips lacking light crunch.",248,Grease Soaked
"Burnt, greasy chips with many broken bits.",248,Grease Soaked
Chips were excessively soaked with grease.,247,Greasy Chips
"Burnt, greasy, broken kettle chips lack crunch.",247,Greasy Chips
Excessive oil in chips made them unappetizing.,247,Greasy Chips
Excess oil in chips made them unappetizing.,247,Greasy Chips
Excessive oil made chips unappetizing.,247,Greasy Chips
Cookies are neither healthy nor tasty.,124,Greasy High Fat
Cookies are too high in fat content.,124,Greasy High Fat
Excessive fat makes cookies greasy and crumbly.,124,Greasy High Fat
High fat content makes cookies greasy.,124,Greasy High Fat
"Product is hard, greasy, and inedible jerky.",136,Hard Greasy Jerky
"Product is hard, greasy, stale, not real jerky.",136,Hard Greasy Jerky
"Product is not jerky, too hard and greasy.",136,Hard Greasy Jerky
"The product is not jerky but hard, greasy, stale strips.",136,Hard Greasy Jerky
The jerky was rock-hard and inedible.,136,Hard Greasy Jerky
Bars are now too hard and inedible.,63,Hard Inedible Bars
Bars have become hard and unappetizing.,63,Hard Inedible Bars
Bars became too hard and inedible.,63,Hard Inedible Bars
Gum cigars were too hard and overly sweet.,66,Hard Sweet Gum
The gum cigars were too hard and overly sweet.,66,Hard Sweet Gum
Gum cigars were too hard and sweet.,66,Hard Sweet Gum
The bubble gum cigars were stale and hard.,66,Hard Sweet Gum
The bubble gum cigars were not fresh.,66,Hard Sweet Gum
Texture is hard and weird even when microwaved.,240,Hard Weird Texture
Texture is hard and weird even when microwaved.,240,Hard Weird Texture
Texture is hard and weird even when microwaved.,240,Hard Weird Texture
Texture is too mushy and soft.,240,Hard Weird Texture
Lid is extremely hard to open.,161,Hard to Open Lid
Lid design made opening nearly impossible.,161,Hard to Open Lid
Side lid is difficult to remove and fragile.,161,Hard to Open Lid
Lid spills water and requires equal-height herbs.,161,Hard to Open Lid
Certain nutritious ingredients cause headaches and migraines.,111,Headache Causes
Cookie ingredients cause headaches and migraines.,111,Headache Causes
Cookies cause headaches and migraines from their ingredients.,111,Headache Causes
Ingredients in the cookies cause migraines and headaches.,111,Headache Causes
Product contains undisclosed allergens causing rash.,171,Hidden Allergens
Unlisted allergens in product caused rash.,171,Hidden Allergens
Allergens not listed caused a rash.,171,Hidden Allergens
Product ineffective as natural cure for hives.,171,Hidden Allergens
Product failed to cure hives as claimed.,171,Hidden Allergens
Undisclosed artificial sweetener caused bad taste and headache.,139,Hidden Artificial Sweetener
Artificial sweetener left an unpleasant fake sugar taste.,139,Hidden Artificial Sweetener
Undisclosed artificial sweetener caused bad taste and headache.,139,Hidden Artificial Sweetener
Artificial sweetener left an unpleasant fake sugar taste.,139,Hidden Artificial Sweetener
Product contains MSG not disclosed before purchase.,131,Hidden MSG
Product has undisclosed MSG and cannot be returned.,131,Hidden MSG
"Undisclosed MSG content, no returns allowed.",131,Hidden MSG
Artificial sweetener not disclosed on packaging.,119,Hidden Sweetener
Artificial sweetener not disclosed on label.,119,Hidden Sweetener
Undisclosed artificial sweetener in ingredients.,119,Hidden Sweetener
Manufacturer failed to disclose trans fat as first ingredient.,186,Hidden Trans Fat
Product contains undisclosed trans-fats.,186,Hidden Trans Fat
Ingredient list omitted trans fat as first ingredient.,186,Hidden Trans Fat
Product contains trans-fats in all flavors.,186,Hidden Trans Fat
Missing online ingredient list hid trans fats.,186,Hidden Trans Fat
Undisclosed trans-fats in product description.,186,Hidden Trans Fat
First ingredient trans fat not disclosed.,186,Hidden Trans Fat
Undisclosed trans-fats in all flavors.,186,Hidden Trans Fat
